Word,Count
*,908
the,696
to,247
of,221
this,205
License,180
file,161
GPL,140
Version,140
by,131
or,117
in,115
and,113
a,102
2,102
is,91
only,91
your,80
for,73
as,72
If,71
include,64
if,64
code,62
under,62
subject,60
option,60
you,60
Oracle,60
with,58
be,54
,52
not,51
add,44
its,44
at,43
either,43
that,42
\license,\,40
indicate,40
packager/legal/LICENSE.txt,40
OR,40
copyright,40
Copyright,40
choice,40
version,40
You,40
provided,40
can,35
are,32
The,31
each,30
new,30
any,28
managed,25
use,25
class,25
All,24
exception,24
has,23
below,21
except,21
obtain,21
section,21
When,21
above,21
so,21
See,21
\License("\CDDL"\)\,20
REMOVE,20
\(collectively,\,20
CDDL,20
single,20
don't,20
information:,20
such,20
NOTICES,20
ALTER,20
2],20
Header,20
particular,20
GNU,20
\license."\\,20
governing,20
[CDDL,20
reserved,20
DO,20
NOT,20
\2,\,20
elected,20
Classpath,20
and/or,20
following,20
elects,20
Contributor(s):,20
Common,20
may,20
wish,20
Development,20
THIS,20
rights,20
\"\Portions\,20
[name,20
brackets,20
licensees,20
limitations,20
language,20
license,20
distribution,20
\("\GPL"\)\,20
HEADER,20
[],20
identifying,20
permissions,20
\applicable,\,20
\Header,\,20
https://glassfish.dev.java.net/public/CDDL+GPL_1_1.html,20
own,20
\software,\,20
compliance,20
Public,20
contents,20
copy,20
\However,\,20
General,20
adding,20
governed,20
\"\[Contributor]\,20
\owner]"\\,20
recipient,20
terms,20
designates,20
Modifications:,20
distributing,20
decision,20
[year],20
holder,20
made,20
Distribution,20
specific,20
affiliates,20
\"\License"\)\,20
software,20
extend,20
Notice,20
enclosed,20
applies,20
fields,20
\therefore,\,20
\"\Classpath"\\,20
(c),20
Exception:,20
\CDDL,\,20
accompanied,20
then,20
replaced,20
distribute,20
COPYRIGHT,20
instance,19
will,19
an,18
no,18
object,18
@param,18
manager,17
on,15
injection,14
need,14
methods,14
null,14
do,14
component,14
bean,13
cleanup,13
tx,13
within,12
This,12
required,12
current,12
from,12
entity,11
name,11
non-tx,11
context,11
