File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\DanielFelipe\Documents\GF\4.1.1\appserver\common\container-common\src\main\java\com\sun\enterprise\container\common\impl\ComponentEnvManagerImpl.java,1058,721,498,114,203,0,134,948,39,329
C:\Users\DanielFelipe\Documents\GF\4.1.1\appserver\common\container-common\src\main\java\com\sun\enterprise\container\common\impl\ContainerUtilImpl.java,109,47,32,5,18,0,44,360,39,329
C:\Users\DanielFelipe\Documents\GF\4.1.1\appserver\common\container-common\src\main\java\com\sun\enterprise\container\common\impl\EntityManagerFactoryWrapper.java,293,173,113,30,58,0,62,459,39,329
C:\Users\DanielFelipe\Documents\GF\4.1.1\appserver\common\container-common\src\main\java\com\sun\enterprise\container\common\impl\EntityManagerWrapper.java,1249,948,634,175,202,1,99,893,39,329
C:\Users\DanielFelipe\Documents\GF\4.1.1\appserver\common\container-common\src\main\java\com\sun\enterprise\container\common\impl\FactoryForEntityManagerFactoryWrapper.java,78,25,18,2,14,0,39,329,39,329
C:\Users\DanielFelipe\Documents\GF\4.1.1\appserver\common\container-common\src\main\java\com\sun\enterprise\container\common\impl\JavaCompNamingProxy.java,71,27,20,4,5,0,39,329,39,329
C:\Users\DanielFelipe\Documents\GF\4.1.1\appserver\common\container-common\src\main\java\com\sun\enterprise\container\common\impl\JavaModuleNamingProxy.java,356,192,140,27,107,0,57,468,39,329
C:\Users\DanielFelipe\Documents\GF\4.1.1\appserver\common\container-common\src\main\java\com\sun\enterprise\container\common\impl\PhysicalEntityManagerWrapper.java,86,26,18,3,13,0,47,364,0,0
C:\Users\DanielFelipe\Documents\GF\4.1.1\appserver\common\container-common\src\main\java\com\sun\enterprise\container\common\impl\QueryWrapper.java,604,428,291,97,129,1,47,379,39,329
C:\Users\DanielFelipe\Documents\GF\4.1.1\appserver\common\container-common\src\main\java\com\sun\enterprise\container\common\impl\StoreProcedureQueryWrapper.java,168,95,56,19,27,0,46,361,39,329
C:\Users\DanielFelipe\Documents\GF\4.1.1\appserver\common\container-common\src\main\java\com\sun\enterprise\container\common\impl\TypedQueryWrapper.java,178,101,60,19,27,0,50,403,39,329
C:\Users\DanielFelipe\Documents\GF\4.1.1\appserver\common\container-common\src\main\java\com\sun\enterprise\container\common\impl\managedbean\ManagedBeanManagerImpl.java,737,453,326,57,199,0,85,602,39,329
C:\Users\DanielFelipe\Documents\GF\4.1.1\appserver\common\container-common\src\main\java\com\sun\enterprise\container\common\impl\managedbean\ManagedBeanNamingProxy.java,80,26,22,1,12,0,42,335,39,329
C:\Users\DanielFelipe\Documents\GF\4.1.1\appserver\common\container-common\src\main\java\com\sun\enterprise\container\common\impl\util\ComponentNamingUtilImpl.java,60,12,7,1,9,0,39,329,39,329
C:\Users\DanielFelipe\Documents\GF\4.1.1\appserver\common\container-common\src\main\java\com\sun\enterprise\container\common\impl\util\DummyCallFlowAgentImpl.java,65,16,12,0,10,0,39,329,39,329
C:\Users\DanielFelipe\Documents\GF\4.1.1\appserver\common\container-common\src\main\java\com\sun\enterprise\container\common\impl\util\GlassFishObjectInputStream.java,161,91,64,13,23,0,47,361,39,329
C:\Users\DanielFelipe\Documents\GF\4.1.1\appserver\common\container-common\src\main\java\com\sun\enterprise\container\common\impl\util\GlassFishObjectOutputStream.java,169,88,69,9,26,0,55,430,39,329
C:\Users\DanielFelipe\Documents\GF\4.1.1\appserver\common\container-common\src\main\java\com\sun\enterprise\container\common\impl\util\InjectionManagerImpl.java,934,566,322,74,199,0,169,1143,39,329
C:\Users\DanielFelipe\Documents\GF\4.1.1\appserver\common\container-common\src\main\java\com\sun\enterprise\container\common\impl\util\JavaEEIOUtilsImpl.java,176,102,77,5,24,0,50,393,39,329
C:\Users\DanielFelipe\Documents\GF\4.1.1\appserver\common\container-common\src\main\java\com\sun\enterprise\container\common\impl\util\JavaEEObjectStreamHandlerForJNDIContext.java,126,61,44,6,15,0,50,400,39,329
